"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|FI","03.01.2015 04:00 - 03.01.2015 05:00 (CET/CEST)","861","n/e","n/e","642","714","1","n/e","433","n/e","n/e","n/e","604","n/e","n/e","2775","210","44","n/e","50","n/e","400"
"BZN|FI","03.01.2015 05:00 - 03.01.2015 06:00 (CET/CEST)","871","n/e","n/e","803","724","1","n/e","437","n/e","n/e","n/e","740","n/e","n/e","2775","210","44","n/e","51","n/e","409"
"BZN|FI","03.01.2015 06:00 - 03.01.2015 07:00 (CET/CEST)","894","n/e","n/e","853","743","1","n/e","442","n/e","n/e","n/e","748","n/e","n/e","2774","210","43","n/e","63","n/e","415"
"BZN|FI","03.01.2015 07:00 - 03.01.2015 08:00 (CET/CEST)","917","n/e","n/e","852","747","1","n/e","445","n/e","n/e","n/e","860","n/e","n/e","2774","210","43","n/e","70","n/e","413"
"BZN|FI","03.01.2015 08:00 - 03.01.2015 09:00 (CET/CEST)","924","n/e","n/e","874","758","1","n/e","451","n/e","n/e","n/e","947","n/e","n/e","2774","210","43","n/e","70","n/e","410"
"BZN|FI","03.01.2015 09:00 - 03.01.2015 10:00 (CET/CEST)","917","n/e","n/e","887","795","1","n/e","460","n/e","n/e","n/e","995","n/e","n/e","2774","210","43","n/e","70","n/e","401"
"BZN|FI","03.01.2015 10:00 - 03.01.2015 11:00 (CET/CEST)","926","n/e","n/e","885","800","1","n/e","460","n/e","n/e","n/e","1055","n/e","n/e","2774","214","43","n/e","70","n/e","392"
"BZN|FI","03.01.2015 11:00 - 03.01.2015 12:00 (CET/CEST)","932","n/e","n/e","885","798","1","n/e","467","n/e","n/e","n/e","1124","n/e","n/e","2774","214","43","n/e","69","n/e","374"
"BZN|FI","03.01.2015 12:00 - 03.01.2015 13:00 (CET/CEST)","922","n/e","n/e","895","777","1","n/e","472","n/e","n/e","n/e","1130","n/e","n/e","2775","214","42","n/e","70","n/e","379"
"BZN|FI","03.01.2015 13:00 - 03.01.2015 14:00 (CET/CEST)","919","n/e","n/e","889","793","1","n/e","474","n/e","n/e","n/e","1190","n/e","n/e","2775","214","41","n/e","70","n/e","279"
"BZN|FI","03.01.2015 14:00 - 03.01.2015 15:00 (CET/CEST)","922","n/e","n/e","913","806","1","n/e","481","n/e","n/e","n/e","1132","n/e","n/e","2774","214","40","n/e","70","n/e","334"
"BZN|FI","03.01.2015 15:00 - 03.01.2015 16:00 (CET/CEST)","932","n/e","n/e","917","822","1","n/e","486","n/e","n/e","n/e","1243","n/e","n/e","2774","214","42","n/e","70","n/e","337"
"BZN|FI","03.01.2015 16:00 - 03.01.2015 17:00 (CET/CEST)","931","n/e","n/e","925","867","1","n/e","495","n/e","n/e","n/e","1304","n/e","n/e","2775","214","43","n/e","70","n/e","320"
"BZN|FI","03.01.2015 17:00 - 03.01.2015 18:00 (CET/CEST)","930","n/e","n/e","926","885","1","n/e","494","n/e","n/e","n/e","1317","n/e","n/e","2775","221","43","n/e","70","n/e","317"
"BZN|FI","03.01.2015 18:00 - 03.01.2015 19:00 (CET/CEST)","938","n/e","n/e","916","851","1","n/e","495","n/e","n/e","n/e","1248","n/e","n/e","2774","224","43","n/e","70","n/e","318"
"BZN|FI","03.01.2015 19:00 - 03.01.2015 20:00 (CET/CEST)","937","n/e","n/e","898","827","1","n/e","495","n/e","n/e","n/e","1217","n/e","n/e","2775","224","43","n/e","70","n/e","302"
"BZN|FI","03.01.2015 20:00 - 03.01.2015 21:00 (CET/CEST)","934","n/e","n/e","884","800","1","n/e","498","n/e","n/e","n/e","1114","n/e","n/e","2774","224","43","n/e","70","n/e","289"
"BZN|FI","03.01.2015 21:00 - 03.01.2015 22:00 (CET/CEST)","936","n/e","n/e","886","804","1","n/e","498","n/e","n/e","n/e","881","n/e","n/e","2774","234","40","n/e","70","n/e","278"
"BZN|FI","03.01.2015 22:00 - 03.01.2015 23:00 (CET/CEST)","942","n/e","n/e","892","793","1","n/e","492","n/e","n/e","n/e","884","n/e","n/e","2774","234","41","n/e","70","n/e","265"
"BZN|FI","03.01.2015 23:00 - 04.01.2015 00:00 (CET/CEST)","947","n/e","n/e","848","789","1","n/e","491","n/e","n/e","n/e","864","n/e","n/e","2774","234","42","n/e","70","n/e","262"
"BZN|FI","04.01.2015 00:00 - 04.01.2015 01:00 (CET/CEST)","949","n/e","n/e","813","788","1","n/e","486","n/e","n/e","n/e","697","n/e","n/e","2774","237","43","n/e","70","n/e","258"
"BZN|FI","04.01.2015 01:00 - 04.01.2015 02:00 (CET/CEST)","948","n/e","n/e","803","790","1","n/e","487","n/e","n/e","n/e","637","n/e","n/e","2774","244","43","n/e","70","n/e","245"
"BZN|FI","04.01.2015 02:00 - 04.01.2015 03:00 (CET/CEST)","948","n/e","n/e","802","791","1","n/e","477","n/e","n/e","n/e","642","n/e","n/e","2774","244","43","n/e","70","n/e","237"
"BZN|FI","04.01.2015 03:00 - 04.01.2015 04:00 (CET/CEST)","954","n/e","n/e","783","793","1","n/e","459","n/e","n/e","n/e","629","n/e","n/e","2773","244","43","n/e","70","n/e","236"
"BZN|FI","04.01.2015 04:00 - 04.01.2015 05:00 (CET/CEST)","962","n/e","n/e","783","794","1","n/e","479","n/e","n/e","n/e","615","n/e","n/e","2773","248","43","n/e","71","n/e","239"
"BZN|FI","04.01.2015 05:00 - 04.01.2015 06:00 (CET/CEST)","951","n/e","n/e","803","797","1","n/e","496","n/e","n/e","n/e","715","n/e","n/e","2773","254","43","n/e","72","n/e","234"
"BZN|FI","04.01.2015 06:00 - 04.01.2015 07:00 (CET/CEST)","965","n/e","n/e","904","814","1","n/e","505","n/e","n/e","n/e","738","n/e","n/e","2772","254","43","n/e","71","n/e","244"
"BZN|FI","04.01.2015 07:00 - 04.01.2015 08:00 (CET/CEST)","962","n/e","n/e","905","830","1","n/e","508","n/e","n/e","n/e","836","n/e","n/e","2773","254","43","n/e","70","n/e","245"
"BZN|FI","04.01.2015 08:00 - 04.01.2015 09:00 (CET/CEST)","969","n/e","n/e","919","845","1","n/e","500","n/e","n/e","n/e","846","n/e","n/e","2771","254","43","n/e","70","n/e","243"
"BZN|FI","04.01.2015 09:00 - 04.01.2015 10:00 (CET/CEST)","966","n/e","n/e","913","876","1","n/e","501","n/e","n/e","n/e","909","n/e","n/e","2772","254","41","n/e","70","n/e","242"
"BZN|FI","04.01.2015 10:00 - 04.01.2015 11:00 (CET/CEST)","966","n/e","n/e","913","854","1","n/e","495","n/e","n/e","n/e","1079","n/e","n/e","2772","254","39","n/e","61","n/e","229"
"BZN|FI","04.01.2015 11:00 - 04.01.2015 12:00 (CET/CEST)","967","n/e","n/e","911","844","1","n/e","484","n/e","n/e","n/e","1178","n/e","n/e","2772","254","40","n/e","55","n/e","232"
"BZN|FI","04.01.2015 12:00 - 04.01.2015 13:00 (CET/CEST)","964","n/e","n/e","912","843","1","n/e","484","n/e","n/e","n/e","1229","n/e","n/e","2772","254","40","n/e","56","n/e","241"
"BZN|FI","04.01.2015 13:00 - 04.01.2015 14:00 (CET/CEST)","966","n/e","n/e","926","843","1","n/e","491","n/e","n/e","n/e","1292","n/e","n/e","2773","258","41","n/e","57","n/e","221"
"BZN|FI","04.01.2015 14:00 - 04.01.2015 15:00 (CET/CEST)","963","n/e","n/e","916","843","1","n/e","491","n/e","n/e","n/e","1303","n/e","n/e","2773","264","41","n/e","57","n/e","218"
"BZN|FI","04.01.2015 15:00 - 04.01.2015 16:00 (CET/CEST)","965","n/e","n/e","917","878","1","n/e","490","n/e","n/e","n/e","1425","n/e","n/e","2773","264","40","n/e","57","n/e","222"
"BZN|FI","04.01.2015 16:00 - 04.01.2015 17:00 (CET/CEST)","973","n/e","n/e","920","963","1","n/e","497","n/e","n/e","n/e","1479","n/e","n/e","2773","264","40","n/e","57","n/e","215"
"BZN|FI","04.01.2015 17:00 - 04.01.2015 18:00 (CET/CEST)","978","n/e","n/e","925","1022","1","n/e","496","n/e","n/e","n/e","1592","n/e","n/e","2773","264","41","n/e","57","n/e","193"
"BZN|FI","04.01.2015 18:00 - 04.01.2015 19:00 (CET/CEST)","985","n/e","n/e","939","1051","1","n/e","502","n/e","n/e","n/e","1519","n/e","n/e","2774","267","41","n/e","57","n/e","179"
"BZN|FI","04.01.2015 19:00 - 04.01.2015 20:00 (CET/CEST)","976","n/e","n/e","937","1061","1","n/e","507","n/e","n/e","n/e","1354","n/e","n/e","2775","274","41","n/e","57","n/e","184"
"BZN|FI","04.01.2015 20:00 - 04.01.2015 21:00 (CET/CEST)","972","n/e","n/e","939","1050","1","n/e","511","n/e","n/e","n/e","1286","n/e","n/e","2775","282","41","n/e","57","n/e","184"
"BZN|FI","04.01.2015 21:00 - 04.01.2015 22:00 (CET/CEST)","981","n/e","n/e","936","1048","1","n/e","514","n/e","n/e","n/e","1323","n/e","n/e","2775","286","40","n/e","57","n/e","169"
"BZN|FI","04.01.2015 22:00 - 04.01.2015 23:00 (CET/CEST)","980","n/e","n/e","943","1017","1","n/e","512","n/e","n/e","n/e","1137","n/e","n/e","2773","294","41","n/e","56","n/e","168"
"BZN|FI","04.01.2015 23:00 - 05.01.2015 00:00 (CET/CEST)","985","n/e","n/e","943","957","1","n/e","512","n/e","n/e","n/e","946","n/e","n/e","2773","294","41","n/e","55","n/e","162"
"BZN|FI","05.01.2015 00:00 - 05.01.2015 01:00 (CET/CEST)","983","n/e","n/e","890","958","1","n/e","507","n/e","n/e","n/e","780","n/e","n/e","2773","294","41","n/e","55","n/e","164"
"BZN|FI","05.01.2015 01:00 - 05.01.2015 02:00 (CET/CEST)","984","n/e","n/e","891","957","1","n/e","509","n/e","n/e","n/e","766","n/e","n/e","2773","302","41","n/e","55","n/e","158"
"BZN|FI","05.01.2015 02:00 - 05.01.2015 03:00 (CET/CEST)","981","n/e","n/e","900","957","1","n/e","515","n/e","n/e","n/e","733","n/e","n/e","2773","304","41","n/e","55","n/e","164"
"BZN|FI","05.01.2015 03:00 - 05.01.2015 04:00 (CET/CEST)","983","n/e","n/e","907","968","1","n/e","513","n/e","n/e","n/e","746","n/e","n/e","2773","314","41","n/e","55","n/e","164"
"BZN|FI","05.01.2015 04:00 - 05.01.2015 05:00 (CET/CEST)","988","n/e","n/e","906","1099","1","n/e","523","n/e","n/e","n/e","829","n/e","n/e","2773","318","41","n/e","55","n/e","160"
"BZN|FI","05.01.2015 05:00 - 05.01.2015 06:00 (CET/CEST)","995","n/e","n/e","971","1178","1","n/e","537","n/e","n/e","n/e","1223","n/e","n/e","2774","324","41","n/e","55","n/e","155"
"BZN|FI","05.01.2015 06:00 - 05.01.2015 07:00 (CET/CEST)","1005","n/e","n/e","981","1226","1","n/e","551","n/e","n/e","n/e","1482","n/e","n/e","2773","330","40","n/e","55","n/e","134"
"BZN|FI","05.01.2015 07:00 - 05.01.2015 08:00 (CET/CEST)","993","n/e","n/e","1021","1254","1","n/e","565","n/e","n/e","n/e","1774","n/e","n/e","2776","333","41","n/e","55","n/e","104"
"BZN|FI","05.01.2015 08:00 - 05.01.2015 09:00 (CET/CEST)","995","n/e","n/e","1026","1252","1","n/e","574","n/e","n/e","n/e","1864","n/e","n/e","2776","340","42","n/e","55","n/e","82"
"BZN|FI","05.01.2015 09:00 - 05.01.2015 10:00 (CET/CEST)","994","n/e","n/e","1030","1274","5","n/e","569","n/e","n/e","n/e","1791","n/e","n/e","2773","342","41","n/e","55","n/e","82"
"BZN|FI","05.01.2015 10:00 - 05.01.2015 11:00 (CET/CEST)","994","n/e","n/e","1043","1274","1","n/e","569","n/e","n/e","n/e","1856","n/e","n/e","2773","340","41","n/e","55","n/e","78"
"BZN|FI","05.01.2015 11:00 - 05.01.2015 12:00 (CET/CEST)","987","n/e","n/e","1054","1289","1","n/e","578","n/e","n/e","n/e","1854","n/e","n/e","2773","340","43","n/e","55","n/e","40"
"BZN|FI","05.01.2015 12:00 - 05.01.2015 13:00 (CET/CEST)","992","n/e","n/e","1059","1302","1","n/e","576","n/e","n/e","n/e","1868","n/e","n/e","2773","340","45","n/e","55","n/e","48"
"BZN|FI","05.01.2015 13:00 - 05.01.2015 14:00 (CET/CEST)","997","n/e","n/e","1059","1320","1","n/e","567","n/e","n/e","n/e","1838","n/e","n/e","2774","341","44","n/e","55","n/e","46"
"BZN|FI","05.01.2015 14:00 - 05.01.2015 15:00 (CET/CEST)","1017","n/e","n/e","1087","1342","2","n/e","563","n/e","n/e","n/e","1979","n/e","n/e","2774","348","43","n/e","55","n/e","50"
"BZN|FI","05.01.2015 15:00 - 05.01.2015 16:00 (CET/CEST)","1013","n/e","n/e","1115","1342","1","n/e","571","n/e","n/e","n/e","2179","n/e","n/e","2773","356","42","n/e","55","n/e","59"
"BZN|FI","05.01.2015 16:00 - 05.01.2015 17:00 (CET/CEST)","1026","n/e","n/e","1137","1342","1","n/e","579","n/e","n/e","n/e","2112","n/e","n/e","2773","362","43","n/e","55","n/e","56"
"BZN|FI","05.01.2015 17:00 - 05.01.2015 18:00 (CET/CEST)","1025","n/e","n/e","1124","1344","1","n/e","572","n/e","n/e","n/e","2136","n/e","n/e","2773","364","43","n/e","55","n/e","50"
"BZN|FI","05.01.2015 18:00 - 05.01.2015 19:00 (CET/CEST)","1024","n/e","n/e","1120","1345","1","n/e","568","n/e","n/e","n/e","2150","n/e","n/e","2774","365","41","n/e","55","n/e","47"
"BZN|FI","05.01.2015 19:00 - 05.01.2015 20:00 (CET/CEST)","1024","n/e","n/e","1120","1344","1","n/e","573","n/e","n/e","n/e","2023","n/e","n/e","2774","372","41","n/e","55","n/e","45"
"BZN|FI","05.01.2015 20:00 - 05.01.2015 21:00 (CET/CEST)","1016","n/e","n/e","1058","1340","1","n/e","575","n/e","n/e","n/e","1860","n/e","n/e","2774","372","41","n/e","55","n/e","39"
"BZN|FI","05.01.2015 21:00 - 05.01.2015 22:00 (CET/CEST)","1018","n/e","n/e","1043","1322","1","n/e","561","n/e","n/e","n/e","1788","n/e","n/e","2774","372","42","n/e","55","n/e","31"
"BZN|FI","05.01.2015 22:00 - 05.01.2015 23:00 (CET/CEST)","1013","n/e","n/e","989","1267","1","n/e","547","n/e","n/e","n/e","1405","n/e","n/e","2774","379","42","n/e","55","n/e","26"
"BZN|FI","05.01.2015 23:00 - 06.01.2015 00:00 (CET/CEST)","1013","n/e","n/e","965","1130","1","n/e","555","n/e","n/e","n/e","1166","n/e","n/e","2774","380","42","n/e","55","n/e","27"
"BZN|FI","06.01.2015 00:00 - 06.01.2015 01:00 (CET/CEST)","1027","n/e","n/e","962","1106","1","n/e","547","n/e","n/e","n/e","915","n/e","n/e","2775","380","42","n/e","55","n/e","18"
"BZN|FI","06.01.2015 01:00 - 06.01.2015 02:00 (CET/CEST)","990","n/e","n/e","960","1082","1","n/e","467","n/e","n/e","n/e","871","n/e","n/e","2775","380","42","n/e","55","n/e","22"
