"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|FI","01.01.2015 00:00 - 01.01.2015 01:00 (CET/CEST)","865","n/e","n/e","861","655","1","n/e","396","n/e","n/e","n/e","735","n/e","n/e","2774","208","44","n/e","55","n/e","214"
"BZN|FI","01.01.2015 01:00 - 01.01.2015 02:00 (CET/CEST)","874","n/e","n/e","858","646","1","n/e","397","n/e","n/e","n/e","668","n/e","n/e","2773","208","44","n/e","49","n/e","208"
"BZN|FI","01.01.2015 02:00 - 01.01.2015 03:00 (CET/CEST)","880","n/e","n/e","843","648","1","n/e","396","n/e","n/e","n/e","669","n/e","n/e","2773","208","44","n/e","47","n/e","250"
"BZN|FI","01.01.2015 03:00 - 01.01.2015 04:00 (CET/CEST)","872","n/e","n/e","733","646","1","n/e","396","n/e","n/e","n/e","605","n/e","n/e","2773","208","44","n/e","47","n/e","264"
"BZN|FI","01.01.2015 04:00 - 01.01.2015 05:00 (CET/CEST)","881","n/e","n/e","734","646","1","n/e","399","n/e","n/e","n/e","594","n/e","n/e","2773","208","44","n/e","45","n/e","274"
"BZN|FI","01.01.2015 05:00 - 01.01.2015 06:00 (CET/CEST)","888","n/e","n/e","747","649","1","n/e","406","n/e","n/e","n/e","648","n/e","n/e","2773","208","44","n/e","45","n/e","287"
"BZN|FI","01.01.2015 06:00 - 01.01.2015 07:00 (CET/CEST)","889","n/e","n/e","858","660","1","n/e","417","n/e","n/e","n/e","692","n/e","n/e","2773","208","44","n/e","53","n/e","264"
"BZN|FI","01.01.2015 07:00 - 01.01.2015 08:00 (CET/CEST)","899","n/e","n/e","864","671","1","n/e","423","n/e","n/e","n/e","780","n/e","n/e","2773","208","44","n/e","57","n/e","263"
"BZN|FI","01.01.2015 08:00 - 01.01.2015 09:00 (CET/CEST)","906","n/e","n/e","857","721","1","n/e","426","n/e","n/e","n/e","843","n/e","n/e","2773","208","44","n/e","65","n/e","261"
"BZN|FI","01.01.2015 09:00 - 01.01.2015 10:00 (CET/CEST)","893","n/e","n/e","854","756","1","n/e","430","n/e","n/e","n/e","822","n/e","n/e","2773","208","44","n/e","67","n/e","241"
"BZN|FI","01.01.2015 10:00 - 01.01.2015 11:00 (CET/CEST)","893","n/e","n/e","853","767","1","n/e","436","n/e","n/e","n/e","808","n/e","n/e","2773","208","44","n/e","67","n/e","244"
"BZN|FI","01.01.2015 11:00 - 01.01.2015 12:00 (CET/CEST)","899","n/e","n/e","855","761","1","n/e","441","n/e","n/e","n/e","789","n/e","n/e","2773","208","44","n/e","66","n/e","245"
"BZN|FI","01.01.2015 12:00 - 01.01.2015 13:00 (CET/CEST)","897","n/e","n/e","865","755","1","n/e","438","n/e","n/e","n/e","909","n/e","n/e","2773","208","44","n/e","49","n/e","226"
"BZN|FI","01.01.2015 13:00 - 01.01.2015 14:00 (CET/CEST)","890","n/e","n/e","862","755","1","n/e","439","n/e","n/e","n/e","996","n/e","n/e","2774","208","44","n/e","49","n/e","222"
"BZN|FI","01.01.2015 14:00 - 01.01.2015 15:00 (CET/CEST)","891","n/e","n/e","857","773","1","n/e","444","n/e","n/e","n/e","986","n/e","n/e","2773","208","44","n/e","48","n/e","218"
"BZN|FI","01.01.2015 15:00 - 01.01.2015 16:00 (CET/CEST)","888","n/e","n/e","860","798","1","n/e","448","n/e","n/e","n/e","998","n/e","n/e","2773","208","44","n/e","51","n/e","213"
"BZN|FI","01.01.2015 16:00 - 01.01.2015 17:00 (CET/CEST)","887","n/e","n/e","860","819","1","n/e","445","n/e","n/e","n/e","1020","n/e","n/e","2772","208","44","n/e","52","n/e","182"
"BZN|FI","01.01.2015 17:00 - 01.01.2015 18:00 (CET/CEST)","884","n/e","n/e","858","816","1","n/e","445","n/e","n/e","n/e","1000","n/e","n/e","2772","208","44","n/e","54","n/e","176"
"BZN|FI","01.01.2015 18:00 - 01.01.2015 19:00 (CET/CEST)","882","n/e","n/e","860","813","1","n/e","442","n/e","n/e","n/e","956","n/e","n/e","2773","208","44","n/e","54","n/e","200"
"BZN|FI","01.01.2015 19:00 - 01.01.2015 20:00 (CET/CEST)","891","n/e","n/e","862","797","1","n/e","427","n/e","n/e","n/e","843","n/e","n/e","2772","208","44","n/e","56","n/e","189"
"BZN|FI","01.01.2015 20:00 - 01.01.2015 21:00 (CET/CEST)","882","n/e","n/e","869","785","1","n/e","429","n/e","n/e","n/e","823","n/e","n/e","2773","208","44","n/e","57","n/e","205"
"BZN|FI","01.01.2015 21:00 - 01.01.2015 22:00 (CET/CEST)","881","n/e","n/e","857","738","1","n/e","420","n/e","n/e","n/e","812","n/e","n/e","2773","208","45","n/e","57","n/e","203"
"BZN|FI","01.01.2015 22:00 - 01.01.2015 23:00 (CET/CEST)","885","n/e","n/e","842","725","1","n/e","419","n/e","n/e","n/e","731","n/e","n/e","2773","208","45","n/e","55","n/e","233"
"BZN|FI","01.01.2015 23:00 - 02.01.2015 00:00 (CET/CEST)","879","n/e","n/e","732","700","1","n/e","421","n/e","n/e","n/e","636","n/e","n/e","2773","208","44","n/e","54","n/e","239"
"BZN|FI","02.01.2015 00:00 - 02.01.2015 01:00 (CET/CEST)","881","n/e","n/e","700","686","1","n/e","428","n/e","n/e","n/e","622","n/e","n/e","2773","208","36","n/e","54","n/e","251"
"BZN|FI","02.01.2015 01:00 - 02.01.2015 02:00 (CET/CEST)","884","n/e","n/e","696","684","1","n/e","422","n/e","n/e","n/e","583","n/e","n/e","2773","208","40","n/e","54","n/e","254"
"BZN|FI","02.01.2015 02:00 - 02.01.2015 03:00 (CET/CEST)","897","n/e","n/e","691","683","1","n/e","422","n/e","n/e","n/e","538","n/e","n/e","2774","208","40","n/e","54","n/e","212"
"BZN|FI","02.01.2015 03:00 - 02.01.2015 04:00 (CET/CEST)","898","n/e","n/e","696","687","1","n/e","417","n/e","n/e","n/e","545","n/e","n/e","2774","208","38","n/e","54","n/e","230"
"BZN|FI","02.01.2015 04:00 - 02.01.2015 05:00 (CET/CEST)","898","n/e","n/e","704","693","1","n/e","423","n/e","n/e","n/e","633","n/e","n/e","2774","208","39","n/e","54","n/e","254"
"BZN|FI","02.01.2015 05:00 - 02.01.2015 06:00 (CET/CEST)","914","n/e","n/e","856","727","1","n/e","436","n/e","n/e","n/e","752","n/e","n/e","2773","208","38","n/e","54","n/e","267"
"BZN|FI","02.01.2015 06:00 - 02.01.2015 07:00 (CET/CEST)","927","n/e","n/e","846","769","1","n/e","444","n/e","n/e","n/e","863","n/e","n/e","2773","208","39","n/e","55","n/e","241"
"BZN|FI","02.01.2015 07:00 - 02.01.2015 08:00 (CET/CEST)","916","n/e","n/e","799","799","1","n/e","449","n/e","n/e","n/e","1029","n/e","n/e","2773","208","40","n/e","67","n/e","233"
"BZN|FI","02.01.2015 08:00 - 02.01.2015 09:00 (CET/CEST)","896","n/e","n/e","807","794","1","n/e","454","n/e","n/e","n/e","1074","n/e","n/e","2773","208","41","n/e","71","n/e","268"
"BZN|FI","02.01.2015 09:00 - 02.01.2015 10:00 (CET/CEST)","903","n/e","n/e","789","782","1","n/e","462","n/e","n/e","n/e","1083","n/e","n/e","2773","208","43","n/e","71","n/e","275"
"BZN|FI","02.01.2015 10:00 - 02.01.2015 11:00 (CET/CEST)","916","n/e","n/e","800","775","1","n/e","469","n/e","n/e","n/e","1037","n/e","n/e","2774","208","43","n/e","73","n/e","291"
"BZN|FI","02.01.2015 11:00 - 02.01.2015 12:00 (CET/CEST)","919","n/e","n/e","819","720","1","n/e","475","n/e","n/e","n/e","1016","n/e","n/e","2775","208","43","n/e","71","n/e","303"
"BZN|FI","02.01.2015 12:00 - 02.01.2015 13:00 (CET/CEST)","910","n/e","n/e","833","718","1","n/e","486","n/e","n/e","n/e","1014","n/e","n/e","2774","208","45","n/e","71","n/e","309"
"BZN|FI","02.01.2015 13:00 - 02.01.2015 14:00 (CET/CEST)","899","n/e","n/e","834","716","1","n/e","483","n/e","n/e","n/e","960","n/e","n/e","2774","208","45","n/e","70","n/e","326"
"BZN|FI","02.01.2015 14:00 - 02.01.2015 15:00 (CET/CEST)","903","n/e","n/e","845","721","1","n/e","480","n/e","n/e","n/e","1066","n/e","n/e","2775","208","43","n/e","71","n/e","339"
"BZN|FI","02.01.2015 15:00 - 02.01.2015 16:00 (CET/CEST)","912","n/e","n/e","849","732","1","n/e","476","n/e","n/e","n/e","1286","n/e","n/e","2774","208","44","n/e","30","n/e","334"
"BZN|FI","02.01.2015 16:00 - 02.01.2015 17:00 (CET/CEST)","911","n/e","n/e","873","734","1","n/e","472","n/e","n/e","n/e","1249","n/e","n/e","2775","208","44","n/e","23","n/e","341"
"BZN|FI","02.01.2015 17:00 - 02.01.2015 18:00 (CET/CEST)","904","n/e","n/e","883","762","1","n/e","470","n/e","n/e","n/e","1256","n/e","n/e","2774","208","44","n/e","2","n/e","246"
"BZN|FI","02.01.2015 18:00 - 02.01.2015 19:00 (CET/CEST)","904","n/e","n/e","882","783","1","n/e","465","n/e","n/e","n/e","1190","n/e","n/e","2775","208","43","n/e","2","n/e","313"
"BZN|FI","02.01.2015 19:00 - 02.01.2015 20:00 (CET/CEST)","N/A","n/e","n/e","N/A","N/A","N/A","n/e","N/A","n/e","n/e","n/e","N/A","n/e","n/e","N/A","208","N/A","n/e","N/A","n/e","N/A"
"BZN|FI","02.01.2015 20:00 - 02.01.2015 21:00 (CET/CEST)","910","n/e","n/e","857","775","1","n/e","456","n/e","n/e","n/e","935","n/e","n/e","2774","208","42","n/e","0","n/e","339"
"BZN|FI","02.01.2015 21:00 - 02.01.2015 22:00 (CET/CEST)","897","n/e","n/e","859","742","1","n/e","444","n/e","n/e","n/e","874","n/e","n/e","2774","208","42","n/e","4","n/e","355"
"BZN|FI","02.01.2015 22:00 - 02.01.2015 23:00 (CET/CEST)","887","n/e","n/e","834","734","1","n/e","438","n/e","n/e","n/e","860","n/e","n/e","2775","208","42","n/e","23","n/e","364"
"BZN|FI","02.01.2015 23:00 - 03.01.2015 00:00 (CET/CEST)","866","n/e","n/e","805","726","1","n/e","427","n/e","n/e","n/e","743","n/e","n/e","2775","209","42","n/e","37","n/e","370"
"BZN|FI","03.01.2015 00:00 - 03.01.2015 01:00 (CET/CEST)","867","n/e","n/e","709","710","1","n/e","430","n/e","n/e","n/e","626","n/e","n/e","2775","212","44","n/e","48","n/e","384"
"BZN|FI","03.01.2015 01:00 - 03.01.2015 02:00 (CET/CEST)","866","n/e","n/e","684","710","1","n/e","429","n/e","n/e","n/e","538","n/e","n/e","2775","212","44","n/e","51","n/e","384"
"BZN|FI","03.01.2015 02:00 - 03.01.2015 03:00 (CET/CEST)","870","n/e","n/e","648","711","1","n/e","428","n/e","n/e","n/e","513","n/e","n/e","2776","211","44","n/e","51","n/e","390"
"BZN|FI","03.01.2015 03:00 - 03.01.2015 04:00 (CET/CEST)","857","n/e","n/e","648","717","1","n/e","427","n/e","n/e","n/e","546","n/e","n/e","2776","210","44","n/e","50","n/e","398"
